age,no_vocational_educ,vocational_educ,abitur,applied_sciences_degree,university_degree
18,8260,9457,0,0,0
19,9232,12284,0,0,0
20,10338,14801,10833,0,0
21,11684,16974,12296,0,0
22,13171,18610,14867,0,0
23,14489,19885,17861,0,0
24,15711,21003,20146,0,0
25,16841,22009,22788,26013,26724
26,18355,22940,25608,28607,30138
27,19478,23611,26578,31319,32984
28,20985,24451,28218,34239,36453
29,20952,25055,30404,36545,38895
30,21011,25639,31818,39188,41639
31,20623,26159,32612,40057,44981
32,21366,26850,34244,41167,47887
33,21803,27289,35006,43937,49487
34,22304,28241,35911,45623,51550
35,22105,28580,36704,45724,55303
36,22715,29156,37767,48252,57974
37,23787,29347,38222,49612,60812
38,24262,29703,39213,52495,62965
39,24751,30174,39230,53813,64511
40,24420,30369,40016,54501,65831
41,24463,30875,40229,55256,66987
42,24747,31357,40543,54852,67631
43,25228,31740,40946,57662,68603
44,26108,31462,41418,57641,68371
45,26281,31677,40868,56606,66757
46,26544,31857,41004,57236,66147
47,26448,31765,40104,57890,67078
48,26507,31925,40663,56722,67091
49,26449,31971,40312,56117,67264
50,28297,32228,39619,58451,66656
51,28303,32119,40381,57602,65971
52,26905,32350,40654,57019,66970
53,27334,32713,39783,53891,65636
54,27103,33161,38932,56067,63557
55,27861,33357,39056,54632,61835
56,28699,32777,38476,54121,60698
57,28931,32383,38206,52880,59818
58,27383,31892,36631,51115,60706
59,27427,32142,35540,50212,60219
60,27696,33010,37942,51736,62201
61,27825,33535,37781,51641,62509
62,28264,34423,40929,53782,61580
63,29728,35761,40670,59455,64157
64,29351,36369,39804,58558,63361
