year,elementary_school,hauptschule,various_tracks,realschule,gymnasium,gesamtschule,allgemeinbildende_schulen,berufsschule,berufsschule_dual,all_schools
2016,6200,9300,8100,6700,8100,8200,7700,4900,3100,7100
2015,6000,8900,8000,6400,7900,8000,7500,4700,3000,6900
2014,5900,8700,8000,6200,7800,7800,7400,4600,2900,6700
2013,5600,8200,7700,5900,7500,7500,7100,4500,2800,6500
2012,5400,7900,7700,5700,7200,7200,6800,4300,2700,6300
2011,5300,7000,7900,5400,6800,6900,6500,4100,2600,6000
2010,5200,7100,8000,5300,6600,6600,6400,4000,2500,5800
2009,4800,6700,7400,5100,6200,6300,6000,3800,2400,5500
2008,4400,6300,7000,5200,5800,6000,5600,3500,2200,5100
2007,4200,6000,6200,4600,5600,5800,5400,3600,2200,5000
2005,,,,,,,,,,4700
2000,,,,,,,,,,4300
1995,,,,,,,,,,4300
